branch,date,supplier,lunar,barcode,quantity,price
1,31/01/2022,91437,250,5052149488817,1,£39.99
1,01/02/2022,162259,250,5052149428707,1,£24.99
1,02/02/2022,100631,250,5052149484796,1,£24.99
1,02/02/2022,131120,250,5052149504401,1,£14.99
1,02/02/2022,155656,250,5052149448361,1,£24.99
1,05/02/2022,114253,250,5052149368492,1,£29.99
1,05/02/2022,114952,250,5052149498205,1,£29.99
1,07/02/2022,104750,250,5052149491275,1,£39.99
1,07/02/2022,104750,250,5052149491220,1,£39.99
1,07/02/2022,125921,250,5052149484918,-1,-£29.99
1,07/02/2022,165837,250,5052149484918,1,£29.99
1,08/02/2022,132056,250,5052149494078,1,£29.99
1,08/02/2022,141721,250,5052149491565,1,£39.99
1,09/02/2022,130336,250,5052149484727,1,£24.99
1,11/02/2022,114719,250,5052149448651,1,£12.00
1,11/02/2022,115808,250,5052149491879,1,£38.39
1,11/02/2022,135728,250,5052149447272,1,£15.00
1,11/02/2022,150727,250,5052149511508,1,£16.00
1,12/02/2022,125906,250,5052149489418,1,£31.99
1,12/02/2022,130031,250,2072249489913,1,£27.99
1,14/02/2022,120439,250,5052149487964,1,£16.00
1,14/02/2022,121308,250,5052149491633,1,£39.99
1,14/02/2022,150032,250,5052149498069,1,£27.99
1,15/02/2022,155437,250,5052149489821,1,£27.99
1,15/02/2022,155959,250,5052149536525,1,£39.99
1,16/02/2022,114415,250,5052149491541,1,£31.99
1,16/02/2022,133732,250,5052149545374,1,£35.99
1,18/02/2022,104421,250,5052149489166,1,£31.99
1,18/02/2022,111328,250,5052149489432,1,£31.99
1,18/02/2022,121237,250,5052149484659,1,£29.99
1,18/02/2022,151216,250,5052149491855,1,£38.39
1,19/02/2022,104529,250,5052149368577,1,£24.99
1,19/02/2022,110032,250,5052149545268,1,£44.99
1,19/02/2022,111950,250,5052149489760,1,£31.99
1,21/02/2022,114519,250,5052149484635,1,£29.99
1,22/02/2022,94752,250,5055992824948,1,£19.99
1,22/02/2022,114045,250,5057561373185,1,£16.00
1,23/02/2022,135551,250,5052149490452,1,£39.99
1,25/02/2022,110447,250,5052149498106,1,£34.99
1,25/02/2022,125551,250,5052149368560,1,£29.99
1,26/02/2022,133721,250,5052149545060,1,£44.99
1,26/02/2022,155308,250,5052149527042,1,£34.99
1,01/03/2022,112749,250,5052149545282,1,£44.99
1,01/03/2022,154933,250,5052149465252,1,£44.99
1,03/03/2022,130602,250,5052149490421,1,£39.99
1,03/03/2022,155100,250,5052149498069,1,£34.99
1,04/03/2022,154111,250,5052149491640,1,£39.99
1,04/03/2022,162017,250,5052149488510,1,£34.99
1,05/03/2022,112159,250,5052149511294,1,£44.99
1,07/03/2022,170611,250,5052149497475,1,£25.00
1,08/03/2022,100057,250,5052149504449,1,£14.99
1,08/03/2022,144640,250,5052149497727,1,£25.00
1,09/03/2022,104635,250,5052149461032,1,£29.99
1,09/03/2022,121937,250,5052149544902,1,£32.99
1,09/03/2022,123341,250,5052149489418,1,£25.00
1,09/03/2022,144436,250,5052149491558,1,£25.00
1,10/03/2022,114105,250,5052149511256,1,£44.99
1,10/03/2022,130726,250,5052149489753,1,£25.00
1,10/03/2022,132454,250,5052149490414,1,£25.00
1,12/03/2022,111612,250,5052149498113,1,£25.00
1,12/03/2022,113149,250,5052149489838,1,£39.99
1,12/03/2022,122833,250,5052149484666,1,£29.99
1,12/03/2022,133940,250,5052149491626,1,£25.00
1,12/03/2022,142323,250,5052149489845,1,£25.00
1,12/03/2022,142323,250,5052149490445,1,£25.00
1,15/03/2022,123621,250,5052149494078,1,£25.00
1,15/03/2022,124512,250,5052149498182,1,£29.99
1,15/03/2022,131030,250,5052149491862,1,£25.00
1,17/03/2022,122727,250,5052149448538,1,£15.00
1,17/03/2022,144132,250,5052149544926,1,£32.99
1,17/03/2022,144655,250,5052149488527,1,£25.00
1,17/03/2022,162347,250,5052149491572,1,£25.00
1,18/03/2022,95231,250,5052149425522,1,£29.99
1,18/03/2022,95231,250,5052149425461,1,£29.99
1,18/03/2022,101936,250,5052149498083,1,£25.00
1,18/03/2022,113117,250,5052149498120,1,£25.00
1,18/03/2022,134451,250,5052149368485,1,£29.00
1,18/03/2022,162024,250,5052149488503,1,£25.00
