Group12,Group2,Group3,Group4,Group5,NoTrans,Quantity,GrossValue,NettValue,DiscountValue,AvgTransValue
1000090001,11 Dundee,,,,1,1,95.00,40.00,0.00,40.00
1000090001,11 Dundee,,,,1,0,0.00,0.00,-55.00,0.00
1000140001,03 Falkirk,,,,1,1,5.99,5.99,0.00,5.99
1000150001,13 Ballater,,,,1,1,1.99,1.99,0.00,1.99
1000180001,08 Perth,,,,1,1,2.50,1.50,0.00,1.50
1000180001,08 Perth,,,,1,0,0.00,0.00,-1.00,0.00
1000200001,09 Largs,,,,1,1,28.00,16.87,0.00,16.87
1000200001,09 Largs,,,,1,0,0.00,0.00,-11.13,0.00
1000210001,09 Largs,,,,1,1,28.00,12.60,0.00,12.60
1000210001,09 Largs,,,,1,0,0.00,0.00,-15.40,0.00
1000210001,12 Castle Douglas,,,,1,-1,-14.00,-14.00,0.00,-14.00
1000210001,12 Castle Douglas,,,,1,1,28.00,14.00,0.00,14.00
1000210001,12 Castle Douglas,,,,1,0,0.00,0.00,-14.00,0.00
1000220001,09 Largs,,,,1,1,28.00,12.60,0.00,12.60
1000220001,09 Largs,,,,1,1,12.60,12.60,0.00,12.60
1000220001,09 Largs,,,,1,0,0.00,0.00,-15.40,0.00
1000270009,09 Largs,,,,1,1,35.00,14.00,0.00,14.00
1000270009,09 Largs,,,,1,0,0.00,0.00,-21.00,0.00
1000290001,04 Helensburgh,,,,1,1,13.50,9.99,0.00,9.99
1000290001,04 Helensburgh,,,,1,0,0.00,0.00,-3.51,0.00
1000310004,13 Ballater,,,,1,1,20.00,20.00,0.00,20.00
1000310005,04 Helensburgh,,,,1,1,30.00,20.00,0.00,20.00
1000310005,04 Helensburgh,,,,1,0,0.00,0.00,-10.00,0.00
1000310005,13 Ballater,,,,1,1,20.00,20.00,0.00,20.00
1000340001,05 Kirkcaldy,,,,1,1,28.00,17.50,0.00,17.50
1000340001,05 Kirkcaldy,,,,1,0,0.00,0.00,-10.50,0.00
1000420002,03 Falkirk,,,,1,1,35.99,35.99,0.00,35.99
1000430001,04 Helensburgh,,,,1,1,19.99,19.99,0.00,19.99
1000440001,13 Ballater,,,,1,1,8.99,8.99,0.00,8.99
1000440001,13 Ballater,,,,1,1,8.99,8.99,0.00,8.99
1000450002,01 Edinburgh,,,,1,2,13.98,13.98,0.00,13.98
1000450005,13 Ballater,,,,1,1,6.99,6.99,0.00,6.99
1000470001,04 Helensburgh,,,,1,-1,-8.99,-8.99,0.00,-8.99
1000470001,04 Helensburgh,,,,1,1,8.99,8.99,0.00,8.99
1000470001,12 Castle Douglas,,,,1,1,8.99,8.99,0.00,8.99
1000470001,13 Ballater,,,,1,1,8.99,4.49,0.00,4.49
1000470001,13 Ballater,,,,1,0,0.00,0.00,-4.50,0.00
1000470002,01 Edinburgh,,,,1,1,8.49,8.49,0.00,8.49
1000470002,13 Ballater,,,,1,1,8.99,8.99,0.00,8.99
1000510001,04 Helensburgh,,,,1,1,20.00,19.99,0.00,19.99
1000510001,04 Helensburgh,,,,1,0,0.00,0.00,-0.01,0.00
1000520001,03 Falkirk,,,,1,1,29.99,24.99,0.00,24.99
1000520001,03 Falkirk,,,,1,-1,-24.99,-24.99,0.00,-24.99
1000520001,03 Falkirk,,,,1,1,29.99,29.99,0.00,29.99
1000520001,03 Falkirk,,,,1,0,0.00,0.00,-5.00,0.00
1000520001,16 Berwick,,,,1,1,29.99,24.99,0.00,24.99
1000520001,16 Berwick,,,,1,0,0.00,0.00,-5.00,0.00
1000530001,03 Falkirk,,,,1,1,12.00,12.00,0.00,12.00
1000530001,08 Perth,,,,1,1,15.00,5.00,0.00,5.00
1000530001,08 Perth,,,,1,0,0.00,0.00,-10.00,0.00
1000680001,01 Edinburgh,,,,1,1,17.50,17.50,0.00,17.50
1000830007,13 Ballater,,,,1,1,16.20,16.20,0.00,16.20
1000860001,04 Helensburgh,,,,1,1,26.00,26.00,0.00,26.00
1000860001,05 Kirkcaldy,,,,1,1,26.00,26.00,0.00,26.00
1000890001,01 Edinburgh,,,,1,1,1.99,1.99,0.00,1.99
1000890001,09 Largs,,,,1,1,1.99,1.99,0.00,1.99
1000890001,12 Castle Douglas,,,,1,1,1.99,1.99,0.00,1.99
1000900001,06 Peebles,,,,1,1,5.99,5.99,0.00,5.99
1000900001,06 Peebles,,,,1,1,5.99,5.99,0.00,5.99
1000900001,06 Peebles,,,,1,1,5.99,5.99,0.00,5.99
1000900001,09 Largs,,,,1,1,5.99,5.99,0.00,5.99
1000900001,09 Largs,,,,1,1,5.99,0.99,0.00,0.99
1000900001,09 Largs,,,,1,0,0.00,0.00,-5.00,0.00
1000900001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1000910001,01 Edinburgh,,,,1,1,5.99,5.99,0.00,5.99
1000910001,02 North Berwick,,,,1,1,5.99,5.99,0.00,5.99
1000910001,03 Falkirk,,,,1,1,5.99,2.99,0.00,2.99
1000910001,03 Falkirk,,,,1,1,5.99,5.99,0.00,5.99
1000910001,03 Falkirk,,,,1,0,0.00,0.00,-3.00,0.00
1000910001,05 Kirkcaldy,,,,1,1,5.99,5.99,0.00,5.99
1000910001,06 Peebles,,,,1,1,5.99,5.99,0.00,5.99
1000910001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1000910001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1000910001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1000910001,13 Ballater,,,,1,1,5.99,5.99,0.00,5.99
1000910001,13 Ballater,,,,1,1,5.99,5.99,0.00,5.99
1000910001,13 Ballater,,,,1,1,5.99,5.99,0.00,5.99
1000910001,15 Hamilton,,,,1,1,5.99,5.99,0.00,5.99
1000910001,15 Hamilton,,,,1,1,5.99,5.99,0.00,5.99
1000910001,15 Hamilton,,,,1,1,5.99,5.99,0.00,5.99
1000910001,15 Hamilton,,,,1,1,5.99,5.99,0.00,5.99
1000930001,01 Edinburgh,,,,1,1,30.00,30.00,0.00,30.00
1000930001,02 North Berwick,,,,1,1,30.00,30.00,0.00,30.00
1000930001,03 Falkirk,,,,1,1,30.00,30.00,0.00,30.00
1000930001,03 Falkirk,,,,1,1,30.00,30.00,0.00,30.00
1000930001,05 Kirkcaldy,,,,1,1,30.00,30.00,0.00,30.00
1000930001,05 Kirkcaldy,,,,1,1,30.00,30.00,0.00,30.00
1000930001,05 Kirkcaldy,,,,1,1,30.00,30.00,0.00,30.00
1000930001,09 Largs,,,,1,1,30.00,30.00,0.00,30.00
1000930001,09 Largs,,,,1,1,30.00,30.00,0.00,30.00
1000930001,09 Largs,,,,1,1,30.00,30.00,0.00,30.00
1000930001,11 Dundee,,,,1,1,30.00,30.00,0.00,30.00
1000930001,11 Dundee,,,,1,1,30.00,30.00,0.00,30.00
1000930001,13 Ballater,,,,1,1,30.00,30.00,0.00,30.00
1000930001,13 Ballater,,,,1,1,30.00,30.00,0.00,30.00
1000930001,13 Ballater,,,,1,1,30.00,30.00,0.00,30.00
1000930002,13 Ballater,,,,1,1,30.00,30.00,0.00,30.00
1000930003,05 Kirkcaldy,,,,1,1,30.00,30.00,0.00,30.00
1000930006,05 Kirkcaldy,,,,1,1,30.00,30.00,0.00,30.00
1000930007,05 Kirkcaldy,,,,1,1,30.00,30.00,0.00,30.00
1000990001,13 Ballater,,,,1,1,59.95,57.98,0.00,57.98
1000990001,13 Ballater,,,,1,0,0.00,0.00,-1.97,0.00
1001050001,04 Helensburgh,,,,1,1,14.95,14.95,0.00,14.95
1001240001,03 Falkirk,,,,1,1,54.00,30.24,0.00,30.24
1001240001,03 Falkirk,,,,1,0,0.00,0.00,-23.76,0.00
1001260001,03 Falkirk,,,,1,1,16.99,8.99,0.00,8.99
1001260001,03 Falkirk,,,,1,0,0.00,0.00,-3.00,0.00
1001260001,03 Falkirk,,,,1,0,0.00,0.00,-5.00,0.00
1001300005,13 Ballater,,,,1,1,14.40,14.40,0.00,14.40
1001310002,11 Dundee,,,,1,-1,-12.50,-12.50,0.00,-12.50
1001310002,11 Dundee,,,,1,1,25.00,12.50,0.00,12.50
1001310002,11 Dundee,,,,1,0,0.00,0.00,-12.50,0.00
1001310003,12 Castle Douglas,,,,1,1,25.00,12.50,0.00,12.50
1001310003,12 Castle Douglas,,,,1,0,0.00,0.00,-12.50,0.00
1001310004,05 Kirkcaldy,,,,1,1,25.00,10.00,0.00,10.00
1001310004,05 Kirkcaldy,,,,1,0,0.00,0.00,-2.50,0.00
1001310004,05 Kirkcaldy,,,,1,0,0.00,0.00,-12.50,0.00
1001320002,11 Dundee,,,,1,-1,-12.50,-12.50,0.00,-12.50
1001320002,11 Dundee,,,,1,1,25.00,12.50,0.00,12.50
1001320002,11 Dundee,,,,1,0,0.00,0.00,-12.50,0.00
1001320004,05 Kirkcaldy,,,,1,1,25.00,10.00,0.00,10.00
1001320004,05 Kirkcaldy,,,,1,0,0.00,0.00,-12.50,0.00
1001320004,05 Kirkcaldy,,,,1,0,0.00,0.00,-2.50,0.00
1001340001,12 Castle Douglas,,,,1,1,2.99,2.99,0.00,2.99
1001340001,12 Castle Douglas,,,,1,1,2.99,2.99,0.00,2.99
1001340001,12 Castle Douglas,,,,1,1,2.99,2.99,0.00,2.99
1001350001,09 Largs,,,,1,1,2.99,2.02,0.00,2.02
1001350001,09 Largs,,,,1,0,0.00,0.00,-0.30,0.00
1001350001,09 Largs,,,,1,0,0.00,0.00,-0.67,0.00
1001350001,13 Ballater,,,,1,1,2.99,2.24,0.00,2.24
1001350001,13 Ballater,,,,1,0,0.00,0.00,-0.75,0.00
1001350001,16 Berwick,,,,1,1,2.99,2.24,0.00,2.24
1001350001,16 Berwick,,,,1,0,0.00,0.00,-0.75,0.00
1001360001,09 Largs,,,,1,1,2.99,2.99,0.00,2.99
1001360001,09 Largs,,,,1,1,2.99,2.99,0.00,2.99
1001380001,02 North Berwick,,,,1,1,3.99,3.99,0.00,3.99
1001380001,02 North Berwick,,,,1,1,3.99,3.99,0.00,3.99
1001380001,02 North Berwick,,,,1,1,3.99,3.99,0.00,3.99
1001380001,02 North Berwick,,,,1,1,3.99,3.99,0.00,3.99
1001380001,03 Falkirk,,,,1,1,3.99,3.99,0.00,3.99
1001380001,03 Falkirk,,,,1,1,3.99,3.99,0.00,3.99
1001380001,03 Falkirk,,,,1,1,3.99,3.99,0.00,3.99
1001380001,03 Falkirk,,,,1,1,3.99,3.99,0.00,3.99
1001380001,03 Falkirk,,,,1,1,3.99,3.99,0.00,3.99
1001390001,03 Falkirk,,,,1,1,3.99,3.99,0.00,3.99
1001390001,09 Largs,,,,1,1,3.99,3.99,0.00,3.99
1001390001,09 Largs,,,,1,1,3.99,3.99,0.00,3.99
1001400001,01 Edinburgh,,,,1,1,5.99,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,01 Edinburgh,,,,1,1,5.99,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,01 Edinburgh,,,,1,1,5.99,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.99,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,01 Edinburgh,,,,1,1,5.99,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.99,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.99,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.99,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.00,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.99,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.00,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.99,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.99,4.79,0.00,4.79
1001400001,01 Edinburgh,,,,1,1,5.00,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.00,5.00,0.00,5.00
1001400001,01 Edinburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,01 Edinburgh,,,,1,1,4.01,4.01,0.00,4.01
1001400001,01 Edinburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,01 Edinburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,01 Edinburgh,,,,1,1,4.01,4.01,0.00,4.01
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-1.20,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
