ItemCode,AlternateItemCode,StyleCode,ProductType,Description,SubDescription,Measure,TillDescription,SuspendDate,DepartmentCode,SectionCode,SubSectionCode,ModelCode,SupplierCode,SupplierReference,LeadTime,PackSize,DirectDelivery,PrimaryBarcode,SeasonCode,BrandCode,RangeCode,StockGroupCode,ConcessionCode,PosGroupCode,StockCategoryCode1,StockCategoryCode2,AttributeGroup 1,AttributeCode 1,RangeCode1,RangeDetail1,RangeCode2,RangeDetail2
1000520001,1000520001,100052,UNIT,SS22 S1651 SPIRIT SMALL ZIP TOP SHOULDER,Navy/O/S,QUANTITY,SS22 S1651 Spirit Small Zip To Navy/O/S,,1,2,121,,80922,2270210,30,1,N,5.06035E+12,122,NOV,,,,1,,,,,COLOUR,Navy,SIZE ,O/S
1000990001,1000990001,100099,UNIT,SS22 MKN0431SN52 BARBOUR PIMA COTTON V-NECK,BROWN/XXL,QUANTITY,SS22 MKN0431SN52 BROWN\2XL,,8,523,701,,80986,2278858,30,1,N,8.85799E+11,122,BUR,,,,1,,,,,COLOUR,BROWN,SIZE ,XXL
1001580001,1001580001,100158,UNIT,SS22 216245 NEAT FEET CHARACTER SOCKS,Multi/0-6M,QUANTITY,SS22 216245 Neat Feet Socks Multi/0-6M,,9,800,811,,81032,2284941,30,1,N,5.05948E+12,122,JOU,,,,1,,,,,COLOUR,Multi,SIZE ,0-6M
1001660003,1001660003,100166,UNIT,SS22 HARBOUR 212831 JERSEY TOP,Cream/14,QUANTITY,SS21 Harbour 213261 Jersey Top Cream/14,25/05/2022,6,125,2,,81032,2113425,30,1,N,5.05791E+12,122,JOU,,,,1,,,,,COLOUR,Cream,SIZE ,14
1001660005,1001660005,100166,UNIT,SS22 HARBOUR 212831 JERSEY TOP,Cream/18,QUANTITY,SS21 Harbour 213261 Jersey Top Cream/18,25/05/2022,6,125,2,,81032,2113449,30,1,N,5.05791E+12,122,JOU,,,,1,,,,,COLOUR,Cream,SIZE ,18
1001660006,1001660006,100166,UNIT,SS22 HARBOUR 212831 JERSEY TOP,Navy/10,QUANTITY,SS22 Harbour 212831 Jersey Top Navy/10,,6,125,2,,81032,2225388,30,1,N,5.05948E+12,122,JOU,,,,1,,,,,COLOUR,Navy,SIZE ,10
1001660007,1001660007,100166,UNIT,SS22 HARBOUR 212831 JERSEY TOP,Navy/12,QUANTITY,SS22 Harbour 212831 Jersey Top Navy/12,,6,125,2,,81032,2225395,30,1,N,5.05948E+12,122,JOU,,,,1,,,,,COLOUR,Navy,SIZE ,12
1001660008,1001660008,100166,UNIT,SS22 HARBOUR 212831 JERSEY TOP,Navy/14,QUANTITY,SS22 Harbour 212831 Jersey Top Navy/14,,6,125,2,,81032,2225401,30,1,N,5.05948E+12,122,JOU,,,,1,,,,,COLOUR,Navy,SIZE ,14
1001660009,1001660009,100166,UNIT,SS22 HARBOUR 212831 JERSEY TOP,Navy/16,QUANTITY,SS22 Harbour 212831 Jersey Top Navy/16,,6,125,2,,81032,2225418,30,1,N,5.05948E+12,122,JOU,,,,1,,,,,COLOUR,Navy,SIZE ,16
1001660010,1001660010,100166,UNIT,SS22 HARBOUR 212831 JERSEY TOP,Navy/18,QUANTITY,SS22 Harbour 212831 Jersey Top Navy/18,,6,125,2,,81032,2225425,30,1,N,5.05948E+12,122,JOU,,,,1,,,,,COLOUR,Navy,SIZE ,18
