"ItemCode","AlternateItemCode","StyleCode","ProductType","Description","SubDescription","Measure","TillDescription","SuspendDate","DepartmentCode","SectionCode","SubSectionCode","ModelCode","SupplierCode","SupplierReference","LeadTime","DirectDelivery","PrimaryBarcode","VATCode","SellingPrice","RRP","SalesDiscountAllowed","PackSize","PackCostCurrency","LastUnitCost","DefaultSalePrice","CarriageCost","NormalPrice","OriginalSellingPrice","SeasonCode","BrandCode","RangeCode","StockGroupCode","ConcessionCode","PosGroupCode","StockCategoryCode1","StockCategoryCode2","AttributeGroup 1","AttributeCode 1","RangeCode1","RangeDetail1","RangeCode2","RangeDetail2","RangeCode3","RangeDetail3","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10"
1000520001,"1000520001","100052","UNIT","SS22 S1651 SPIRIT SMALL ZIP TOP SHOULDER","Navy/O/S","QUANTITY","SS22 S1651 Spirit Small Zip To Navy/O/S",,"1","2","121",,"80922","2270210",30,"N","5060353180021",1,29.99,,"Y",1.00,10.9500,10.9500,29.99,0.00,29.99,0.00,"122","NOV",,,,1,,,,,"COLOUR","Navy","SIZE ","O/S",,,,,,,,,,,,
1000990001,"1000990001","100099","UNIT","SS22 MKN0431SN52 BARBOUR PIMA COTTON V-NECK","BROWN/XXL","QUANTITY","SS22 MKN0431SN52 BROWN\2XL",,"8","523","701",,"80986","2278858",30,"N","885798627116",1,59.95,,"Y",1.00,24.0000,24.0000,59.95,0.00,59.95,0.00,"122","BUR",,,,1,,,,,"COLOUR","BROWN","SIZE ","XXL",,,,,,,,,,,,
1001580001,"1001580001","100158","UNIT","SS22 216245 NEAT FEET CHARACTER SOCKS","Multi/0-6M","QUANTITY","SS22 216245 Neat Feet Socks Multi/0-6M",,"9","800","811",,"81032","2284941",30,"N","5059477691087",1,6.95,,"Y",1.00,3.5000,3.5000,6.95,0.00,6.95,0.00,"122","JOU",,,,1,,,,,"COLOUR","Multi","SIZE ","0-6M",,,,,,,,,,,,
1001660006,"1001660006","100166","UNIT","SS22 HARBOUR 212831 JERSEY TOP","Navy/10","QUANTITY","SS22 Harbour 212831 Jersey Top Navy/10",,"6","125","2",,"81032","2225388",30,"N","5059477051256",1,29.95,,"Y",1.00,12.5000,12.5000,29.95,0.00,29.95,0.00,"122","JOU",,,,1,,,,,"COLOUR","Navy","SIZE ","10",,,,,,,,,,,,
1001660007,"1001660007","100166","UNIT","SS22 HARBOUR 212831 JERSEY TOP","Navy/12","QUANTITY","SS22 Harbour 212831 Jersey Top Navy/12",,"6","125","2",,"81032","2225395",30,"N","5059477051263",1,29.95,,"Y",1.00,12.5000,12.5000,29.95,0.00,29.95,0.00,"122","JOU",,,,1,,,,,"COLOUR","Navy","SIZE ","12",,,,,,,,,,,,
1001660008,"1001660008","100166","UNIT","SS22 HARBOUR 212831 JERSEY TOP","Navy/14","QUANTITY","SS22 Harbour 212831 Jersey Top Navy/14",,"6","125","2",,"81032","2225401",30,"N","5059477051270",1,29.95,,"Y",1.00,12.5000,12.5000,29.95,0.00,29.95,0.00,"122","JOU",,,,1,,,,,"COLOUR","Navy","SIZE ","14",,,,,,,,,,,,
1001660009,"1001660009","100166","UNIT","SS22 HARBOUR 212831 JERSEY TOP","Navy/16","QUANTITY","SS22 Harbour 212831 Jersey Top Navy/16",,"6","125","2",,"81032","2225418",30,"N","5059477051287",1,29.95,,"Y",1.00,12.5000,12.5000,29.95,0.00,29.95,0.00,"122","JOU",,,,1,,,,,"COLOUR","Navy","SIZE ","16",,,,,,,,,,,,
1001660010,"1001660010","100166","UNIT","SS22 HARBOUR 212831 JERSEY TOP","Navy/18","QUANTITY","SS22 Harbour 212831 Jersey Top Navy/18",,"6","125","2",,"81032","2225425",30,"N","5059477051294",1,29.95,,"Y",1.00,12.5000,12.5000,29.95,0.00,29.95,0.00,"122","JOU",,,,1,,,,,"COLOUR","Navy","SIZE ","18",,,,,,,,,,,,
1005040001,"1005040001","100504","UNIT","SS22 435473 MILD HOODED SWEAT","BLUE/14","QUANTITY","SS22 435473 Mild Hooded Sweat BLUE/14",,"6","132","2",,"81273","2263212",30,"N","5059514316409",1,49.00,,"Y",1.00,22.9200,22.9200,49.00,0.00,49.00,0.00,"122","WTS",,,,1,,,,,"COLOUR","BLUE","SIZE ","14",,,,,,,,,,,,
1005120001,"1005120001","100512","UNIT","SS22 12201406","Grey/M","QUANTITY","SS22 12201406 Jjbrat Sweat Grey/M",,"8","526","701",,"81286","2272924",30,"N","5715212547988",1,22.00,,"Y",1.00,8.1400,8.1400,22.00,0.00,22.00,0.00,"122",,,,,1,,,,,"COLOUR","Grey","SIZE ","M",,,,,,,,,,,,
1005120002,"1005120002","100512","UNIT","SS22 12201406","Grey/XL","QUANTITY","SS22 12201406 Jjbrat Sweat Grey/XL",,"8","526","701",,"81286","2272948",30,"N","5715212547995",1,22.00,,"Y",1.00,8.1400,8.1400,22.00,0.00,22.00,0.00,"122",,,,,1,,,,,"COLOUR","Grey","SIZE ","XL",,,,,,,,,,,,
1005120003,"1005120003","100512","UNIT","SS22 12201406","Black/M","QUANTITY","SS22 12201406 Jjbrat Sweat Black/M",,"8","526","701",,"81286","2272962",30,"N","5715212547926",1,22.00,,"Y",1.00,8.1400,8.1400,22.00,0.00,22.00,0.00,"122",,,,,1,,,,,"COLOUR","Black","SIZE ","M",,,,,,,,,,,,
1005120004,"1005120004","100512","UNIT","SS22 12201406","Navy/S","QUANTITY","SS22 12201406 Jjbrat Sweat Navy/S",,"8","526","701",,"81286","2273280",30,"N","5715212547940",1,22.00,,"Y",1.00,8.1400,8.1400,22.00,0.00,22.00,0.00,"122",,,,,1,,,,,"COLOUR","Navy","SIZE ","S",,,,,,,,,,,,
