"ItemCode","AlternateItemCode","StyleCode","ProductType","Description","SubDescription","Measure","TillDescription","SuspendDate","DepartmentCode","SectionCode","SubSectionCode","ModelCode","SupplierCode","SupplierReference","LeadTime","DirectDelivery","PrimaryBarcode","VATCode","SellingPrice","RRP","SalesDiscountAllowed","PackSize","PackCostCurrency","LastUnitCost","DefaultSalePrice","CarriageCost","NormalPrice","OriginalSellingPrice","LinkedItemGroup1","LinkedItemGroup2","CatalogStyle","Itemised","CaptureSerialNumber","RollWidth","DoNotAllocate","DateSensitive","DeliveryVanUnits","PurchaserAddressRequired","CommissionCode","CubicCapacity","NumberOfSeats","Commodity","Archive","AttributeGroup 1","AttributeCode 1","RangeCode1","RangeDetail1","RangeCode2","RangeDetail2","RangeCode3","RangeDetail3","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10"
1000140001,"1000140001","100014","UNIT","PALE PINK 500ML SPORT BOTTLE","0/O/S","QUANTITY","Pale Pink 500Ml Sport Bottle 0/O/S",,"21","411","624",,"80845","2082028",30,"N","5014478438505",1,5.99,,"Y",1.00,2.8500,2.8500,5.99,0.00,5.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","0","SIZE ","O/S",,,,,,,,,,,,
1000150001,"1000150001","100015","UNIT","8"" PASTA BOWL R/GLAZE PASTELS","0/O/S","QUANTITY","8"" Pasta Bowl R/Glaze Pastels 0/O/S",,"21","413","640",,"80845","2081793",30,"N","5014478438673",1,2.99,,"Y",1.00,1.2800,1.2800,2.99,0.00,2.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","0","SIZE ","O/S",,,,,,,,,,,,
1000180001,"1000180001","100018","UNIT","SIMPLY HOME AMALFI GREY/CREAM MUG 12OZ","0/O/S","QUANTITY","S/Home Amalfi Grey/Cream Mug 0/O/S",,"21","413","642",,"80845","2108391",30,"N","5014478438581",1,2.50,,"Y",1.00,0.7100,0.7100,2.50,0.00,2.50,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","0","SIZE ","O/S",,,,,,,,,,,,
1000420001,"1000420001","100042","UNIT","7-116 LEATHER PATCH PURSE","Navy/O/S","QUANTITY","7-0116 Navy/O/S",,"1","9","192",,"80890","1559941",30,"N","1559941",1,35.99,,"Y",1.00,35.9900,35.9900,35.99,0.00,35.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Navy","SIZE ","O/S",,,,,,,,,,,,
1000420002,"1000420002","100042","UNIT","7-116 LEATHER PATCH PURSE","Purple/O/S","QUANTITY","7-116 Purple/O/S",,"1","9","192",,"80890","2230894",30,"N","5056078218583",1,35.99,,"Y",1.00,12.9500,12.9500,35.99,0.00,35.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","O/S",,,,,,,,,,,,
1000430001,"1000430001","100043","UNIT","RF11 CC HOLDER RFID FULL GRAIN LEATHER WITH EXTRA LEAF","Black/O/S","QUANTITY","Rf11 Cc Holde Rfid Lethr Ex/Lf Black/O/S",,"1","9","192",,"80890","2230856",30,"N","5056078209734",1,19.99,,"Y",1.00,6.9500,6.9500,19.99,0.00,19.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Black","SIZE ","O/S",,,,,,,,,,,,
1000440001,"1000440001","100044","UNIT","0-311 SML FLAP COIN PURSE SHEEPSKIN","Asstd/O/S","QUANTITY","0-311 ASStd/O/S",,"1","9","192",,"80890","2230931",30,"N","2230931",1,8.99,,"Y",1.00,3.7500,3.7500,8.99,0.00,8.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Asstd","SIZE ","O/S",,,,,,,,,,,,
1000450001,"1000450001","100045","UNIT","0-327 LEATHER ROUNDED ZIP TOP COIN PURSE","Turquoise/O/S","QUANTITY","0-327 Roundedzip Coin Purse Turquoise/O/S",,"1","9","192",,"80890","884655",30,"N","884655",1,8.99,,"Y",1.00,3.2500,3.2500,8.99,0.00,8.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Turquoise","SIZE ","O/S",,,,,,,,,,,,
1000450002,"1000450002","100045","UNIT","0-327 LEATHER ROUNDED ZIP TOP COIN PURSE","BLUE/O/S","QUANTITY","0-327 Roundedzip Coin Purse BLUE/O/S",,"1","9","192",,"80890","1436730",30,"N","1436730",1,8.99,,"Y",1.00,3.2500,3.2500,8.99,0.00,8.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","BLUE","SIZE ","O/S",,,,,,,,,,,,
1000450003,"1000450003","100045","UNIT","0-327 LEATHER ROUNDED ZIP TOP COIN PURSE","Purple/O/S","QUANTITY","0-327 Roundedzip Coin Purse Purple/O/S",,"1","9","192",,"80890","2230924",30,"N","2230924",1,8.99,,"Y",1.00,3.2500,3.2500,8.99,0.00,8.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","O/S",,,,,,,,,,,,
