Group12,Group2,Group3,Group4,Group5,NoTrans,Quantity,GrossValue,NettValue,DiscountValue,AvgTransValue
(1) Accessories,(1) Hosiery,1001420002,2173023,09 Largs,1,-1,-7.77,-7.77,0.00,-7.77
(1) Accessories,(1) Hosiery,1001790001,1540413,01 Edinburgh,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,01 Edinburgh,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,02 North Berwick,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,03 Falkirk,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,03 Falkirk,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,04 Helensburgh,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,04 Helensburgh,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,04 Helensburgh,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,04 Helensburgh,1,1,6.00,1.00,0.00,1.00
(1) Accessories,(1) Hosiery,1001790001,1540413,04 Helensburgh,1,0,0.00,0.00,-5.00,0.00
(1) Accessories,(1) Hosiery,1001790001,1540413,05 Kirkcaldy,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,05 Kirkcaldy,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,05 Kirkcaldy,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,05 Kirkcaldy,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,05 Kirkcaldy,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,05 Kirkcaldy,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,05 Kirkcaldy,1,1,6.00,1.00,0.00,1.00
(1) Accessories,(1) Hosiery,1001790001,1540413,05 Kirkcaldy,1,0,0.00,0.00,-5.00,0.00
(1) Accessories,(1) Hosiery,1001790001,1540413,05 Kirkcaldy,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,06 Peebles,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,06 Peebles,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,06 Peebles,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,06 Peebles,1,3,18.00,18.00,0.00,18.00
(1) Accessories,(1) Hosiery,1001790001,1540413,06 Peebles,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,06 Peebles,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,06 Peebles,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,06 Peebles,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,06 Peebles,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,06 Peebles,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,08 Perth,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,08 Perth,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,08 Perth,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,09 Largs,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,11 Dundee,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,11 Dundee,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,11 Dundee,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,12 Castle Douglas,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,12 Castle Douglas,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,12 Castle Douglas,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,12 Castle Douglas,1,1,4.80,4.80,0.00,4.80
(1) Accessories,(1) Hosiery,1001790001,1540413,12 Castle Douglas,1,1,4.80,4.80,0.00,4.80
(1) Accessories,(1) Hosiery,1001790001,1540413,13 Ballater,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,13 Ballater,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,13 Ballater,1,1,4.80,4.80,0.00,4.80
(1) Accessories,(1) Hosiery,1001790001,1540413,13 Ballater,1,1,4.80,4.80,0.00,4.80
(1) Accessories,(1) Hosiery,1001790001,1540413,13 Ballater,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,13 Ballater,1,1,4.80,4.80,0.00,4.80
(1) Accessories,(1) Hosiery,1001790001,1540413,13 Ballater,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,13 Ballater,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,13 Ballater,1,1,6.00,6.00,0.00,6.00
(1) Accessories,(1) Hosiery,1001790001,1540413,13 Ballater,1,1,6.00,6.00,0.00,6.00
